user_id,item,gender,city,device,channel,age_bucket,user_active_days_7,user_ctr,item_price,item_popularity,time_since_last_click,hist_item_seq,click,conversion
1447473,item_HOME_255,M,Shanghai,iOS,organic,>=55,1,0.244234799830572,410.40552054085924,0.03923471756793238,19.2526925364302,"item_FOOD_883,item_FOOD_371,item_BEAUTY_687,item_BEAUTY_370",0,0
1994457,item_FOOD_370,F,Shanghai,Android,ad,25-34,6,0.24436382610627835,159.91831672475158,0.24773098990372683,8.203934764198431,"item_BEAUTY_673,item_SPORT_880,item_CLOTH_778,item_BEAUTY_773,item_FOOD_989,item_CLOTH_906,item_SPORT_293,item_FOOD_513,item_HOME_736",0,0
1992582,item_ELEC_661,F,Others,Web,push,25-34,3,0.05511952186608973,161.77219921332804,0.29454173115559346,19.57097002055202,"item_SPORT_432,item_CLOTH_493",0,0
1382009,item_FOOD_942,M,Guangzhou,Web,ad,<18,6,0.2559912069087221,174.95318358837224,0.04865959428913603,15.55543611416632,"item_CLOTH_815,item_BEAUTY_107,item_HOME_942,item_BEAUTY_874,item_SPORT_752,item_CLOTH_347,item_FOOD_352,item_FOOD_905,item_HOME_451,item_HOME_617,item_CLOTH_580,item_HOME_630,item_ELEC_961,item_ELEC_845,item_CLOTH_681,item_FOOD_880,item_SPORT_178,item_ELEC_394,item_FOOD_857,item_BEAUTY_595,item_CLOTH_456,item_ELEC_462,item_ELEC_151,item_BEAUTY_737,item_BEAUTY_561,item_ELEC_337,item_HOME_313",0,0
1953587,item_CLOTH_127,M,Shanghai,Web,organic,>=55,4,0.14987510912408197,195.31463419435465,0.0751516099681035,115.38091176378225,"item_SPORT_968,item_BEAUTY_313,item_CLOTH_611,item_HOME_113,item_BEAUTY_748,item_ELEC_737,item_FOOD_408,item_FOOD_841",1,0
1827148,item_CLOTH_525,M,Shanghai,Web,ad,35-44,7,0.20455879251979203,82.83604811688866,0.1467678563409649,28.562966085181518,"item_HOME_809,item_SPORT_790,item_BEAUTY_566,item_BEAUTY_442,item_ELEC_263,item_CLOTH_543,item_HOME_181,item_ELEC_796,item_CLOTH_216,item_HOME_788,item_FOOD_123,item_ELEC_967,item_FOOD_972",0,0
1639453,item_CLOTH_618,F,Others,iOS,other,45-54,3,0.25172448050436225,181.10743703143342,0.47773840718600963,8.904640978731127,"item_ELEC_608,item_SPORT_680,item_FOOD_640,item_FOOD_660,item_FOOD_603,item_CLOTH_256,item_ELEC_183,item_SPORT_630,item_BEAUTY_500,item_HOME_187,item_FOOD_243,item_CLOTH_922,item_FOOD_851,item_FOOD_294,item_FOOD_227,item_HOME_301,item_FOOD_635,item_SPORT_288,item_ELEC_518,item_HOME_515,item_CLOTH_896,item_BEAUTY_840",1,0
1837255,item_CLOTH_405,M,Shanghai,iOS,other,25-34,4,0.22767609613451292,239.5081818632698,0.4130375544245731,2.9787294935495936,"item_FOOD_796,item_ELEC_920,item_ELEC_547,item_HOME_939,item_HOME_132,item_FOOD_430,item_BEAUTY_692,item_BEAUTY_788,item_BEAUTY_486,item_SPORT_166,item_BEAUTY_388,item_HOME_529,item_ELEC_359,item_HOME_968,item_SPORT_140,item_CLOTH_595,item_HOME_593,item_FOOD_255,item_ELEC_598,item_FOOD_496,item_SPORT_545,item_FOOD_550,item_CLOTH_399,item_SPORT_819,item_SPORT_640,item_ELEC_866,item_SPORT_930,item_FOOD_995",0,0
1766262,item_ELEC_457,F,Guangzhou,iOS,ad,18-24,2,0.13566158809766307,59.262113893290085,0.35741911344039595,27.167302225715144,"item_CLOTH_309,item_BEAUTY_613,item_CLOTH_941,item_CLOTH_744,item_SPORT_575,item_BEAUTY_117,item_HOME_910,item_BEAUTY_427,item_HOME_738,item_ELEC_315,item_HOME_195,item_CLOTH_329,item_SPORT_654,item_ELEC_231,item_CLOTH_755,item_SPORT_636,item_HOME_593,item_HOME_366,item_HOME_588,item_HOME_452",1,0
1975809,item_ELEC_540,F,Beijing,Web,organic,35-44,7,0.12222928278755205,203.12324128090148,0.49814102196809057,8.040381246663125,"item_CLOTH_111,item_HOME_902,item_ELEC_348,item_FOOD_570,item_ELEC_873,item_FOOD_871,item_HOME_257,item_CLOTH_618,item_ELEC_848,item_SPORT_867",1,0
1386220,item_SPORT_307,Unknown,Guangzhou,Android,other,>=55,7,0.27519271716286575,177.27801024522955,0.3503585256525606,24.43728388031062,"item_FOOD_495,item_CLOTH_452,item_HOME_735,item_BEAUTY_104,item_FOOD_163,item_SPORT_470,item_FOOD_806,item_SPORT_881,item_ELEC_888,item_BEAUTY_864,item_ELEC_645,item_SPORT_874,item_ELEC_400,item_FOOD_778,item_ELEC_789,item_CLOTH_853,item_SPORT_458,item_FOOD_931,item_CLOTH_710,item_FOOD_986,item_ELEC_196,item_SPORT_638,item_SPORT_863,item_SPORT_192,item_HOME_562,item_ELEC_968,item_ELEC_982,item_SPORT_353",0,0
1077225,item_ELEC_800,M,Shenzhen,iOS,ad,45-54,0,0.1497167595479384,237.1898094716349,0.21246105504640303,0.2991671832525717,"item_BEAUTY_565,item_FOOD_415,item_BEAUTY_612,item_ELEC_935",0,0
1454802,item_BEAUTY_546,F,Shenzhen,iOS,push,35-44,1,0.28533740733053325,54.52420432054332,0.3767249136349837,26.064607555475007,item_HOME_416,1,0
1317456,item_HOME_956,M,Guangzhou,Android,organic,35-44,7,0.31071874484484696,297.3940272869299,0.23954802638279424,3.4180364810056796,"item_HOME_543,item_HOME_411,item_FOOD_190,item_SPORT_133,item_SPORT_315,item_ELEC_518,item_HOME_253,item_FOOD_707,item_FOOD_256,item_ELEC_346,item_HOME_486,item_BEAUTY_930,item_SPORT_474",1,0
1487140,item_FOOD_571,F,Shanghai,Android,organic,>=55,1,0.4413155647508589,398.9071985370179,0.09078659205300273,34.50316250298342,"item_ELEC_379,item_ELEC_940,item_CLOTH_394,item_HOME_595,item_HOME_589,item_FOOD_965,item_SPORT_533,item_ELEC_120,item_ELEC_233,item_BEAUTY_945,item_BEAUTY_241,item_SPORT_574,item_SPORT_568",0,0
1919555,item_FOOD_660,F,Shanghai,Web,organic,45-54,3,0.13937397903160217,229.9536145612471,0.43348972958843807,7.5653809348845185,"item_CLOTH_695,item_FOOD_169,item_FOOD_603,item_FOOD_823,item_CLOTH_616,item_SPORT_349,item_SPORT_212,item_SPORT_766,item_BEAUTY_362,item_ELEC_497",0,0
1965575,item_HOME_147,M,Guangzhou,iOS,push,35-44,3,0.38045548087935377,314.7224892152947,0.14235579474078347,1.6576322034399031,item_FOOD_504,0,0
