log_time,user_id,item_id,gender,age_bucket,city,device,channel,category,brand,price,impression_position,user_active_days_7,user_ctr,text_desc,click,conversion
2025-11-14 09:16:00,10001,item_BEAU_01399,F,35-44,Beijing,Web,search,Beauty,PureSkin,277.62,10,7,0.29,Sunscreen cruelty-free brightening,0,0
2025-11-15 17:18:00,10001,item_BEAU_01530,F,35-44,Beijing,Web,push,Beauty,BrandN,814.57,9,7,0.29,Essence for sensitive skin with niacinamide hydrating formula,0,0
2025-11-18 09:51:00,10001,item_HOME_01211,F,35-44,Beijing,Web,organic,Home,BrandB,904.47,5,7,0.29,Office chair with lumbar support handcrafted,0,0
2025-11-23 09:59:00,10001,item_CLOT_00426,F,35-44,Beijing,Web,search,Clothing,BrandD,358.71,10,7,0.29,Cotton t-shirt short sleeve athletic fit with pockets,1,1
2025-12-08 19:39:00,10001,item_HOME_01178,F,35-44,Beijing,Web,search,Home,ModernLiving,315.23,10,7,0.29,Plant pot space-saving durable material easy assembly,0,0
2025-11-14 05:29:00,10002,item_ELEC_00078,F,45-54,Hangzhou,Web,recommendation,Electronics,SoundMax,163.13,4,2,0.04,Keyboard silver with touch controls waterproof IPX7 Bluetooth 5.2,0,0
2025-11-18 23:12:00,10002,item_ELEC_00023,F,45-54,Hangzhou,Web,search,Electronics,BrandA,500.73,9,2,0.04,Tablet black with voice assistant Bluetooth 5.2 48h battery,0,0
2025-11-20 21:44:00,10002,item_ELEC_00142,F,45-54,Hangzhou,Web,search,Electronics,BrandA,905.84,5,2,0.04,Webcam HD quality fast charging shockproof,0,0
2025-11-21 17:43:00,10002,item_ELEC_00049,F,45-54,Hangzhou,Web,search,Electronics,EliteGear,718.48,9,2,0.04,Bluetooth headphones white premium sound wireless charging USB-C,0,0
2025-12-10 03:16:00,10002,item_ELEC_00183,F,45-54,Hangzhou,Web,search,Electronics,BrandA,832.98,8,2,0.04,Tablet red with transparency mode waterproof IPX7 wireless charging,0,0
2025-12-10 21:33:00,10002,item_ELEC_00168,F,45-54,Hangzhou,Web,recommendation,Electronics,TechPro,467.07,6,2,0.04,Wireless mouse rose gold Bluetooth 5.2 4K resolution,0,0
